,gene_ids-0
Gm7634,ENSMUSG00000100652.1
4930444P10Rik,ENSMUSG00000067795.9
Rpl7,ENSMUSG00000043716.9
Rdh10,ENSMUSG00000025921.7
RP24-178O17.2,ENSMUSG00000104165.1
Gm28095,ENSMUSG00000100868.1
Stau2,ENSMUSG00000025920.15
Gm7568,ENSMUSG00000089982.3
Ube2w,ENSMUSG00000025939.13
RP23-382H8.2,ENSMUSG00000102457.1
Tceb1,ENSMUSG00000079658.5
D030040B21Rik,ENSMUSG00000097744.1
Gm7654,ENSMUSG00000100959.1
Tmem70,ENSMUSG00000025940.6
Ly96,ENSMUSG00000025779.6
Gm29649,ENSMUSG00000100093.1
Gm5828,ENSMUSG00000091020.3
Gm28376,ENSMUSG00000101640.1
RP24-254D14.1,ENSMUSG00000104133.1
Jph1,ENSMUSG00000042686.5
Gm28783,ENSMUSG00000100110.1
Gdap1,ENSMUSG00000025777.8
Gm28784,ENSMUSG00000099899.1
Gm28785,ENSMUSG00000100272.1
Gm5251,ENSMUSG00000100398.1
Rbm6-ps1,ENSMUSG00000101589.1
Gm6075,ENSMUSG00000102048.1
Gm25166,ENSMUSG00000089534.1
Pi15,ENSMUSG00000067780.3
Gm28154,ENSMUSG00000100053.1
Gm16070,ENSMUSG00000085125.3
Crispld1,ENSMUSG00000025776.9
Gm28153,ENSMUSG00000099895.1
Gm7690,ENSMUSG00000100554.1
Gm18775,ENSMUSG00000099473.1
Gm17969,ENSMUSG00000099591.1
Gm28755,ENSMUSG00000102001.1
Gm28756,ENSMUSG00000101717.1
Crisp4,ENSMUSG00000025774.10
Defb44-ps,ENSMUSG00000070977.4
Defb18,ENSMUSG00000073735.1
Defb41,ENSMUSG00000067773.6
Gm17837,ENSMUSG00000101685.1
Gm29006,ENSMUSG00000101738.1
Gm5252,ENSMUSG00000101306.1
Gm24075,ENSMUSG00000088800.1
Gm28343,ENSMUSG00000101644.1
Gm28344,ENSMUSG00000099433.1
Gm15825,ENSMUSG00000089787.2
Tfap2d,ENSMUSG00000042596.7
AC098736.2,ENSMUSG00000100720.1
Tfap2b,ENSMUSG00000025927.9
Gm28340,ENSMUSG00000100538.1
Gm28341,ENSMUSG00000101117.1
Gm4849,ENSMUSG00000100204.1
Gm24633,ENSMUSG00000084668.1
RP24-132H2.1,ENSMUSG00000102597.1
Gm25568,ENSMUSG00000077860.2
Pkhd1,ENSMUSG00000043760.12
RP23-245C4.1,ENSMUSG00000104095.1
4930486I03Rik,ENSMUSG00000089914.2
Gm15795,ENSMUSG00000090142.2
Gm24162,ENSMUSG00000070175.1
Mir206,ENSMUSG00000065559.1
Gm28653,ENSMUSG00000099906.1
Mir133b,ENSMUSG00000065480.1
Il17a,ENSMUSG00000025929.4
Il17f,ENSMUSG00000041872.5
Mcm3,ENSMUSG00000041859.10
Gm20587,ENSMUSG00000099714.1
Gm28065,ENSMUSG00000102121.1
Gm24723,ENSMUSG00000088858.1
6720483E21Rik,ENSMUSG00000097934.1
Paqr8,ENSMUSG00000025931.11
Gm24171,ENSMUSG00000077314.1
Gm28064,ENSMUSG00000100929.1
Efhc1,ENSMUSG00000041809.5
Tram2,ENSMUSG00000041779.5
Gm28287,ENSMUSG00000099971.1
Gm2693,ENSMUSG00000100819.1
Tmem14a,ENSMUSG00000025933.11
RP23-278E1.4,ENSMUSG00000102633.1
Gsta3,ENSMUSG00000025934.11
Gm28836,ENSMUSG00000099343.1
Gm7094,ENSMUSG00000096375.2
Gm4956,ENSMUSG00000025936.11
Gm21909,ENSMUSG00000093963.1
Khdc1a,ENSMUSG00000067750.3
Gm16329,ENSMUSG00000086194.1
Gm16327,ENSMUSG00000094436.1
Khdc1c,ENSMUSG00000041722.7
Gm2709,ENSMUSG00000085507.1
Gm16533,ENSMUSG00000094926.1
Khdc1b,ENSMUSG00000085079.3
Gm16328,ENSMUSG00000085679.2
Kcnq5,ENSMUSG00000028033.12
RP24-496H1.1,ENSMUSG00000104138.1
Gm7658,ENSMUSG00000082935.3
RP23-322P13.2,ENSMUSG00000103748.1
Gm26580,ENSMUSG00000097109.1
Gm5696,ENSMUSG00000099692.1
Gm28239,ENSMUSG00000100418.1
Rims1,ENSMUSG00000041670.11
Gm26866,ENSMUSG00000097642.1
Gm7761,ENSMUSG00000101468.1
Gm29506,ENSMUSG00000101227.1
4933415F23Rik,ENSMUSG00000073730.2
Gm24176,ENSMUSG00000089553.1
RP23-28L24.5,ENSMUSG00000102766.1
Mir30a,ENSMUSG00000065405.2
Gm27028,ENSMUSG00000097970.1
Mir30c-2,ENSMUSG00000065567.1
Gm29107,ENSMUSG00000100775.1
Gm20954,ENSMUSG00000101226.1
Ogfrl1,ENSMUSG00000026158.7
Gm7784,ENSMUSG00000097920.1
Gm28822,ENSMUSG00000099503.1
B3gat2,ENSMUSG00000026156.8
Smap1,ENSMUSG00000026155.9
1110058L19Rik,ENSMUSG00000026154.4
RP24-287C19.1,ENSMUSG00000102495.1
Fam135a,ENSMUSG00000026153.11
RP23-255J24.2,ENSMUSG00000102398.1
Gm26607,ENSMUSG00000097670.1
Col9a1,ENSMUSG00000026147.12
Col19a1,ENSMUSG00000026141.9
Gm26418,ENSMUSG00000077463.1
Tubb4b-ps2,ENSMUSG00000099997.1
Gm28439,ENSMUSG00000100131.1
Gm10222,ENSMUSG00000067736.2
Gm28438,ENSMUSG00000101939.1
Gm28437,ENSMUSG00000101111.1
Gm10925,ENSMUSG00000100862.1
Gm28661,ENSMUSG00000102070.1
Gm29216,ENSMUSG00000101249.1
Lmbrd1,ENSMUSG00000073725.4
Gm28594,ENSMUSG00000100808.1
Gm28237,ENSMUSG00000100483.1
Gm9443,ENSMUSG00000100450.1
Gm29414,ENSMUSG00000099392.1
Bai3,ENSMUSG00000033569.13
Gm15702,ENSMUSG00000080849.1
RP23-21P2.4,ENSMUSG00000104257.1
Gm22260,ENSMUSG00000096866.1
RP23-21P2.3,ENSMUSG00000102296.1
RP23-21P2.2,ENSMUSG00000103209.1
RP23-21P2.5,ENSMUSG00000104027.1
RP23-21P2.6,ENSMUSG00000102407.1
RP23-21P2.7,ENSMUSG00000103214.1
RP23-21P2.8,ENSMUSG00000104100.1
Gm25294,ENSMUSG00000084740.1
RP23-347F2.2,ENSMUSG00000103889.1
Gm29214,ENSMUSG00000101301.1
RP23-347F2.1,ENSMUSG00000104221.1
RP23-478K4.2,ENSMUSG00000102250.1
RP23-478K4.1,ENSMUSG00000102317.1
RP23-478K4.3,ENSMUSG00000103563.1
RP23-184I13.2,ENSMUSG00000102465.1
RP23-184I13.3,ENSMUSG00000102659.1
RP23-184I13.4,ENSMUSG00000103924.1
RP23-184I13.5,ENSMUSG00000104132.1
RP23-184I13.6,ENSMUSG00000102747.1
RP23-184I13.7,ENSMUSG00000102386.1
RP23-184I13.8,ENSMUSG00000103004.1
RP23-184I13.1,ENSMUSG00000104516.1
Gm18443,ENSMUSG00000101618.1
Gm19123,ENSMUSG00000099458.1
Gm28378,ENSMUSG00000101524.1
Gm24064,ENSMUSG00000088111.1
4931408C20Rik,ENSMUSG00000073722.3
n-R5s209,ENSMUSG00000095256.1
Gm19641,ENSMUSG00000100310.1
Gm5524,ENSMUSG00000101514.1
Gm18776,ENSMUSG00000101033.1
Gm19028,ENSMUSG00000101372.1
RP23-19M20.2,ENSMUSG00000103241.1
Gm7846,ENSMUSG00000086240.4
Gm597,ENSMUSG00000048411.4
Gm5697,ENSMUSG00000081557.2
Gm6462,ENSMUSG00000058590.2
Gm18033,ENSMUSG00000101235.1
Gm25586,ENSMUSG00000064433.1
Gm22679,ENSMUSG00000080625.1
Gm23785,ENSMUSG00000080391.1
Mir6342,ENSMUSG00000099257.1
Gm5525,ENSMUSG00000099492.1
Gm7858,ENSMUSG00000101726.1
Gm23771,ENSMUSG00000096829.1
Gm27430,ENSMUSG00000098883.1
Gm9898,ENSMUSG00000053185.2
Gm6473,ENSMUSG00000100261.1
Gm2914,ENSMUSG00000101180.1
