,gene_ids-0
Agrp,ENSMUSG00000005705.6
Fam65a,ENSMUSG00000038604.8
Mir1966,ENSMUSG00000089432.1
Gm5914,ENSMUSG00000098120.1
RP24-242N1.2,ENSMUSG00000102593.1
Ctcf,ENSMUSG00000005698.11
Gm5915,ENSMUSG00000080021.5
Rltpr,ENSMUSG00000050357.8
Acd,ENSMUSG00000038000.9
Pard6a,ENSMUSG00000005699.11
Enkd1,ENSMUSG00000013155.9
4933405L10Rik,ENSMUSG00000013158.5
Gfod2,ENSMUSG00000013150.11
Ranbp10,ENSMUSG00000037415.5
Tsnaxip1,ENSMUSG00000031893.6
Cenpt,ENSMUSG00000036672.4
Thap11,ENSMUSG00000036442.7
Nutf2,ENSMUSG00000008450.7
Edc4,ENSMUSG00000036270.12
Nrn1l,ENSMUSG00000044287.6
Pskh1,ENSMUSG00000048310.8
Ctrl,ENSMUSG00000031896.6
Gm16156,ENSMUSG00000087436.1
Psmb10,ENSMUSG00000031897.8
Lcat,ENSMUSG00000035237.7
Slc12a4,ENSMUSG00000017765.12
Mir7074,ENSMUSG00000099131.1
Dpep3,ENSMUSG00000031898.8
Dpep2,ENSMUSG00000053687.10
Gm22972,ENSMUSG00000065231.1
Dus2,ENSMUSG00000031901.8
Ddx28,ENSMUSG00000045538.6
Nfatc3,ENSMUSG00000031902.9
Gm27956,ENSMUSG00000093345.2
Esrp2,ENSMUSG00000084128.6
1810019D21Rik,ENSMUSG00000086390.3
Pla2g15,ENSMUSG00000031903.6
Slc7a6,ENSMUSG00000031904.4
Slc7a6os,ENSMUSG00000033106.5
Prmt7,ENSMUSG00000060098.7
Gm26786,ENSMUSG00000097026.1
Smpd3,ENSMUSG00000031906.8
Gm10629,ENSMUSG00000074113.4
Zfp90,ENSMUSG00000031907.8
6030452D12Rik,ENSMUSG00000054069.7
Cdh3,ENSMUSG00000061048.7
Gm10073,ENSMUSG00000060019.5
1110028F18Rik,ENSMUSG00000099139.1
Cdh1,ENSMUSG00000000303.8
Tango6,ENSMUSG00000041949.5
Has3,ENSMUSG00000031910.10
Chtf8,ENSMUSG00000046691.9
Cirh1a,ENSMUSG00000041438.7
Rpl10-ps2,ENSMUSG00000074108.1
Sntb2,ENSMUSG00000041308.5
Gm22085,ENSMUSG00000088969.1
Gm16208,ENSMUSG00000085464.1
Vps4a,ENSMUSG00000031913.9
Gm16209,ENSMUSG00000083734.1
Pdf,ENSMUSG00000078931.4
Cog8,ENSMUSG00000031916.13
Nip7,ENSMUSG00000031917.7
Tmed6,ENSMUSG00000031919.5
Terf2,ENSMUSG00000031921.13
Mir7075,ENSMUSG00000098671.1
RP23-129K6.1,ENSMUSG00000102271.1
Cyb5b,ENSMUSG00000031924.3
Rps18-ps3,ENSMUSG00000057657.3
Nfat5,ENSMUSG00000003847.12
Nqo1,ENSMUSG00000003849.8
Nob1,ENSMUSG00000003848.10
Wwp2,ENSMUSG00000031930.10
Rps26-ps1,ENSMUSG00000059775.4
Mir140,ENSMUSG00000065439.1
Psmd7,ENSMUSG00000039067.4
Gm25850,ENSMUSG00000080445.1
Gm23646,ENSMUSG00000095727.1
Gm22825,ENSMUSG00000094718.1
Zfhx3,ENSMUSG00000038872.9
RP24-111C16.1,ENSMUSG00000104292.1
RP24-302G16.2,ENSMUSG00000102989.1
Gm20686,ENSMUSG00000093697.1
Mir3108,ENSMUSG00000093241.1
D030068K23Rik,ENSMUSG00000097393.3
Gm23163,ENSMUSG00000092821.1
Pmfbp1,ENSMUSG00000031727.7
Dhx38,ENSMUSG00000037993.7
Txnl4b,ENSMUSG00000031723.4
Hp,ENSMUSG00000031722.9
Dhodh,ENSMUSG00000031730.13
Pkd1l3,ENSMUSG00000048827.7
Ist1,ENSMUSG00000031729.5
Zfp821,ENSMUSG00000031728.9
Atxn1l,ENSMUSG00000069895.3
Ap1g1,ENSMUSG00000031731.12
Snord71,ENSMUSG00000077549.1
Gm25321,ENSMUSG00000084507.1
Gm17344,ENSMUSG00000078143.3
Phlpp2,ENSMUSG00000031732.8
Gm16349,ENSMUSG00000085678.1
Marveld3,ENSMUSG00000001672.10
Tat,ENSMUSG00000001670.9
Chst4,ENSMUSG00000035930.8
Zfp612,ENSMUSG00000044676.9
Gm17720,ENSMUSG00000091041.1
Gm21964,ENSMUSG00000095941.1
Calb2,ENSMUSG00000003657.8
Cmtr2,ENSMUSG00000046441.5
Gm26832,ENSMUSG00000097409.1
Hydin,ENSMUSG00000059854.7
Gm23627,ENSMUSG00000064393.1
Gm22701,ENSMUSG00000093112.2
Vac14,ENSMUSG00000010936.10
Mtss1l,ENSMUSG00000033763.10
Il34,ENSMUSG00000031750.11
Gm15894,ENSMUSG00000090039.1
Gm15895,ENSMUSG00000085068.1
Sf3b3,ENSMUSG00000033732.9
Snord111,ENSMUSG00000080396.1
Gm22193,ENSMUSG00000080518.1
Cog4,ENSMUSG00000031753.12
Gm26816,ENSMUSG00000097380.1
Fuk,ENSMUSG00000033703.8
St3gal2,ENSMUSG00000031749.8
Gm26132,ENSMUSG00000065100.1
Ddx19a,ENSMUSG00000015023.7
Ddx19b,ENSMUSG00000033658.12
Mir3473d,ENSMUSG00000093087.1
Aars,ENSMUSG00000031960.10
Gm24103,ENSMUSG00000092671.1
Clec18a,ENSMUSG00000033633.9
Pdpr,ENSMUSG00000033624.6
9430091E24Rik,ENSMUSG00000084808.3
Glg1,ENSMUSG00000003316.10
Gm23193,ENSMUSG00000076382.1
Rfwd3,ENSMUSG00000033596.4
Mlkl,ENSMUSG00000012519.10
Fa2h,ENSMUSG00000033579.12
Gm24793,ENSMUSG00000077477.1
Wdr59,ENSMUSG00000031959.10
Mir1957b,ENSMUSG00000098410.1
Znrf1,ENSMUSG00000033545.10
Ldhd,ENSMUSG00000031958.12
Zfp1,ENSMUSG00000055835.9
Ctrb1,ENSMUSG00000031957.5
Mir7076,ENSMUSG00000099129.1
Bcar1,ENSMUSG00000031955.9
Cfdp1,ENSMUSG00000031954.5
Tmem170,ENSMUSG00000031953.1
Gm23853,ENSMUSG00000089000.1
Chst5,ENSMUSG00000031952.4
Tmem231,ENSMUSG00000031951.7
Gabarapl2,ENSMUSG00000031950.7
Adat1,ENSMUSG00000031949.13
Kars,ENSMUSG00000031948.9
Terf2ip,ENSMUSG00000033430.9
Gm6793,ENSMUSG00000092086.1
Gm22827,ENSMUSG00000065700.1
Gm22181,ENSMUSG00000093165.1
Gm26994,ENSMUSG00000098075.1
Cntnap4,ENSMUSG00000031772.13
Gm22664,ENSMUSG00000089344.1
Gm25766,ENSMUSG00000077289.1
Gm24291,ENSMUSG00000088258.1
Mon1b,ENSMUSG00000078908.5
Syce1l,ENSMUSG00000033409.9
Adamts18,ENSMUSG00000053399.8
Nudt7,ENSMUSG00000031767.9
Vat1l,ENSMUSG00000046844.6
4933408N05Rik,ENSMUSG00000084848.1
Clec3a,ENSMUSG00000008874.3
Wwox,ENSMUSG00000004637.11
Gm16116,ENSMUSG00000090217.1
Gm16117,ENSMUSG00000089723.1
Gm16118,ENSMUSG00000089797.1
Gm22556,ENSMUSG00000088428.1
Gm23677,ENSMUSG00000065090.1
Maf,ENSMUSG00000055435.6
Gm15655,ENSMUSG00000086717.1
Dynlrb2,ENSMUSG00000034467.6
Cdyl2,ENSMUSG00000031758.9
Gm10620,ENSMUSG00000074072.2
Cmc2,ENSMUSG00000014633.11
Cenpn,ENSMUSG00000031756.4
Atmin,ENSMUSG00000047388.10
1700030J22Rik,ENSMUSG00000031847.7
Gcsh,ENSMUSG00000034424.5
Pkd1l2,ENSMUSG00000034416.14
Gm15395,ENSMUSG00000085688.1
Bco1,ENSMUSG00000031845.11
Gm20694,ENSMUSG00000093446.1
Gan,ENSMUSG00000052557.7
Gm20204,ENSMUSG00000098148.1
Cmip,ENSMUSG00000034390.11
Mir7077,ENSMUSG00000099062.1
Mir7078,ENSMUSG00000098483.1
Plcg2,ENSMUSG00000034330.9
Gm27361,ENSMUSG00000092818.2
Sdr42e1,ENSMUSG00000034308.9
Hsd17b2,ENSMUSG00000031844.7
Mphosph6,ENSMUSG00000031843.1
Gm10617,ENSMUSG00000074065.4
Gm25200,ENSMUSG00000065028.1
Cdh13,ENSMUSG00000031841.14
Gm24035,ENSMUSG00000064801.1
Gm22999,ENSMUSG00000087707.1
Hsbp1,ENSMUSG00000031839.6
Mlycd,ENSMUSG00000074064.6
Osgin1,ENSMUSG00000074063.5
Necab2,ENSMUSG00000031837.9
Slc38a8,ENSMUSG00000034224.10
Mbtps1,ENSMUSG00000031835.11
Hsdl1,ENSMUSG00000034189.4
Dnaaf1,ENSMUSG00000031831.6
Taf1c,ENSMUSG00000031832.10
Rps13-ps4,ENSMUSG00000081378.1
Adad2,ENSMUSG00000024266.7
Kcng4,ENSMUSG00000045246.7
Wfdc1,ENSMUSG00000023336.5
Atp2c2,ENSMUSG00000034112.8
Tldc1,ENSMUSG00000034105.8
Cotl1,ENSMUSG00000031827.8
Klhl36,ENSMUSG00000031828.8
Usp10,ENSMUSG00000031826.15
Gm20388,ENSMUSG00000092329.1
Crispld2,ENSMUSG00000031825.12
Gm15684,ENSMUSG00000089776.1
Zdhhc7,ENSMUSG00000031823.9
Gm15898,ENSMUSG00000089742.1
A130014A01Rik,ENSMUSG00000097944.1
RP23-441L19.2,ENSMUSG00000102665.1
6430548M08Rik,ENSMUSG00000031824.10
Fam92b,ENSMUSG00000042269.11
A330074K22Rik,ENSMUSG00000097960.1
Gse1,ENSMUSG00000031822.14
Gm26971,ENSMUSG00000097983.1
RP23-246H16.1,ENSMUSG00000102737.1
Mir7687,ENSMUSG00000098280.1
Gins2,ENSMUSG00000031821.7
Gm10614,ENSMUSG00000097773.1
Gm26739,ENSMUSG00000097702.1
1190005I06Rik,ENSMUSG00000043687.11
Gm27021,ENSMUSG00000097919.1
Gm26537,ENSMUSG00000097500.1
Emc8,ENSMUSG00000031819.9
Cox4i1,ENSMUSG00000031818.8
RP24-414A22.1,ENSMUSG00000104484.1
Gm24239,ENSMUSG00000088416.1
Gm18709,ENSMUSG00000097895.1
Irf8,ENSMUSG00000041515.5
Gm26878,ENSMUSG00000097087.1
Gm28324,ENSMUSG00000101886.1
Fendrr,ENSMUSG00000097336.4
Foxf1,ENSMUSG00000042812.5
Gm27530,ENSMUSG00000098560.1
Gm26572,ENSMUSG00000096952.1
Mthfsd,ENSMUSG00000031816.10
Foxc2,ENSMUSG00000046714.7
AC127554.1,ENSMUSG00000103128.1
Foxl1,ENSMUSG00000097084.1
RP24-323K23.5,ENSMUSG00000103830.1
5033426O07Rik,ENSMUSG00000097097.1
Gm26815,ENSMUSG00000097384.1
Gm26747,ENSMUSG00000097783.1
Gm26784,ENSMUSG00000097438.1
1700018B08Rik,ENSMUSG00000031809.6
Gm27045,ENSMUSG00000098211.1
1700030M09Rik,ENSMUSG00000097424.2
Fbxo31,ENSMUSG00000052934.9
Gm17786,ENSMUSG00000097987.1
Map1lc3b,ENSMUSG00000031812.12
Zcchc14,ENSMUSG00000061410.6
Gm27030,ENSMUSG00000098221.1
Gm23299,ENSMUSG00000064642.1
Jph3,ENSMUSG00000025318.9
Klhdc4,ENSMUSG00000040263.12
Gm20406,ENSMUSG00000092418.1
Gm24283,ENSMUSG00000077421.1
Gm26812,ENSMUSG00000097812.1
9530085P06Rik,ENSMUSG00000098109.1
Slc7a5,ENSMUSG00000040010.10
BC048644,ENSMUSG00000074052.6
Car5a,ENSMUSG00000025317.7
Gm26999,ENSMUSG00000097969.1
RP23-428C21.4,ENSMUSG00000103904.1
Gm27011,ENSMUSG00000098184.1
Banp,ENSMUSG00000025316.12
Gm17709,ENSMUSG00000091952.3
Mir7237,ENSMUSG00000099140.1
Gm22,ENSMUSG00000043903.3
Zfpm1,ENSMUSG00000049577.10
Trhr2,ENSMUSG00000039079.1
Gm20681,ENSMUSG00000093682.1
Zc3h18,ENSMUSG00000017478.11
Il17c,ENSMUSG00000046108.3
Cyba,ENSMUSG00000006519.10
Mvd,ENSMUSG00000006517.4
AL591003.1,ENSMUSG00000103515.1
Snai3,ENSMUSG00000006587.5
Rnf166,ENSMUSG00000014470.4
Gm24366,ENSMUSG00000093124.1
Ctu2,ENSMUSG00000049482.11
Piezo1,ENSMUSG00000014444.12
Gm26497,ENSMUSG00000065080.1
Cdt1,ENSMUSG00000006585.2
Aprt,ENSMUSG00000006589.7
Galns,ENSMUSG00000015027.10
Trappc2l,ENSMUSG00000015013.8
Pabpn1l,ENSMUSG00000069867.2
Mir6396,ENSMUSG00000098500.1
Cbfa2t3,ENSMUSG00000006362.11
Gm15899,ENSMUSG00000085917.1
Gm10612,ENSMUSG00000090174.1
Acsf3,ENSMUSG00000015016.7
Gm16378,ENSMUSG00000095762.1
Cdh15,ENSMUSG00000031962.5
Ankrd11,ENSMUSG00000035569.12
Gm24445,ENSMUSG00000065915.1
2810013P06Rik,ENSMUSG00000099881.1
Spg7,ENSMUSG00000000738.13
Rpl13,ENSMUSG00000000740.7
Snord68,ENSMUSG00000064450.1
Mir7079,ENSMUSG00000098550.1
Cpne7,ENSMUSG00000034796.10
Mir7080,ENSMUSG00000098582.1
Sult5a1,ENSMUSG00000000739.9
Dpep1,ENSMUSG00000019278.4
Chmp1a,ENSMUSG00000000743.8
Rps12-ps9,ENSMUSG00000069862.6
Spata33,ENSMUSG00000048478.6
Cdk10,ENSMUSG00000033862.6
Spata2l,ENSMUSG00000033594.10
4933417D19Rik,ENSMUSG00000097637.1
Vps9d1,ENSMUSG00000001062.13
Zfp276,ENSMUSG00000001065.10
Fanca,ENSMUSG00000032815.11
Spire2,ENSMUSG00000010154.6
Tcf25,ENSMUSG00000001472.12
Mc1r,ENSMUSG00000074037.3
RP23-213K18.2,ENSMUSG00000103244.1
Tubb3,ENSMUSG00000062380.3
Def8,ENSMUSG00000001482.10
Gm25428,ENSMUSG00000088233.1
Afg3l1,ENSMUSG00000031967.11
Dbndd1,ENSMUSG00000031970.12
Gas8,ENSMUSG00000040220.9
Gm22314,ENSMUSG00000088632.1
n-R5s100,ENSMUSG00000094720.1
n-R5s101,ENSMUSG00000095073.1
n-R5s102,ENSMUSG00000096613.1
n-R5s103,ENSMUSG00000095249.1
n-R5s104,ENSMUSG00000096307.1
n-R5s105,ENSMUSG00000095966.1
n-R5s106,ENSMUSG00000094537.1
n-R5s107,ENSMUSG00000096367.1
n-R5s108,ENSMUSG00000096335.1
n-R5s109,ENSMUSG00000094265.1
n-R5s110,ENSMUSG00000095131.1
n-R5s111,ENSMUSG00000094097.1
n-R5s112,ENSMUSG00000095449.1
n-R5s113,ENSMUSG00000094801.1
n-R5s114,ENSMUSG00000096599.1
n-R5s115,ENSMUSG00000095915.1
Gm25018,ENSMUSG00000094751.1
n-R5s117,ENSMUSG00000096710.1
n-R5s118,ENSMUSG00000094178.1
n-R5s119,ENSMUSG00000096132.1
n-R5s120,ENSMUSG00000096855.1
n-R5s121,ENSMUSG00000095410.1
n-R5s122,ENSMUSG00000094956.1
n-R5s123,ENSMUSG00000095652.1
n-R5s124,ENSMUSG00000093893.1
n-R5s125,ENSMUSG00000096092.1
Gm24312,ENSMUSG00000093852.1
n-R5s127,ENSMUSG00000093960.1
n-R5s128,ENSMUSG00000094003.1
n-R5s129,ENSMUSG00000094455.1
n-R5s130,ENSMUSG00000096785.1
n-R5s131,ENSMUSG00000096358.1
Gm26391,ENSMUSG00000094916.1
n-R5s133,ENSMUSG00000096343.1
n-R5s134,ENSMUSG00000096015.1
Rn5s,ENSMUSG00000096406.1
n-R5s136,ENSMUSG00000096037.1
Gm24089,ENSMUSG00000094541.1
n-R5s138,ENSMUSG00000095183.1
n-R5s139,ENSMUSG00000094760.1
Gm22109,ENSMUSG00000095376.1
n-R5s141,ENSMUSG00000095749.1
n-R5s142,ENSMUSG00000094657.1
n-R5s143,ENSMUSG00000095645.1
n-R5s144,ENSMUSG00000096765.1
Gm25212,ENSMUSG00000096300.1
n-R5s146,ENSMUSG00000096170.1
Gm22291,ENSMUSG00000094270.1
Gm23284,ENSMUSG00000095350.1
n-R5s149,ENSMUSG00000095453.1
Gm23647,ENSMUSG00000095723.1
Rhou,ENSMUSG00000039960.5
4732419C18Rik,ENSMUSG00000097203.1
Rab4a,ENSMUSG00000019478.11
2810455O05Rik,ENSMUSG00000085030.1
Ccsap,ENSMUSG00000031971.11
Gm4342,ENSMUSG00000083911.1
AC147266.1,ENSMUSG00000103619.1
Acta1,ENSMUSG00000031972.4
Nup133,ENSMUSG00000039509.7
Abcb10,ENSMUSG00000031974.8
Taf5l,ENSMUSG00000038697.10
Urb2,ENSMUSG00000031976.10
Mir1967,ENSMUSG00000088414.1
Galnt2,ENSMUSG00000089704.5
1810008B01Rik,ENSMUSG00000089745.1
Gm15775,ENSMUSG00000089820.1
Gm24459,ENSMUSG00000064664.1
Pgbd5,ENSMUSG00000050751.10
Cog2,ENSMUSG00000031979.13
Agt,ENSMUSG00000031980.9
Capn9,ENSMUSG00000031981.7
2310022B05Rik,ENSMUSG00000031983.6
Ttc13,ENSMUSG00000037300.13
Arv1,ENSMUSG00000031982.4
Fam89a,ENSMUSG00000043068.5
Trim67,ENSMUSG00000036913.10
Gm16163,ENSMUSG00000090118.1
2810004N23Rik,ENSMUSG00000031984.7
Gnpat,ENSMUSG00000031985.5
Exoc8,ENSMUSG00000074030.2
Sprtn,ENSMUSG00000031986.5
Egln1,ENSMUSG00000031987.5
Tsnax,ENSMUSG00000056820.6
Disc1,ENSMUSG00000043051.13
Gm22197,ENSMUSG00000080516.1
Gm16237,ENSMUSG00000086694.1
Sipa1l2,ENSMUSG00000001995.8
Map10,ENSMUSG00000050930.5
Ntpcr,ENSMUSG00000031851.10
Pcnxl2,ENSMUSG00000060212.9
A730098A19Rik,ENSMUSG00000100812.1
BC021891,ENSMUSG00000031853.4
Kcnk1,ENSMUSG00000033998.8
Slc35f3,ENSMUSG00000057060.7
Coa6,ENSMUSG00000051671.6
Gm17296,ENSMUSG00000090290.1
Gm6091,ENSMUSG00000074026.3
Gm26759,ENSMUSG00000097060.1
Irf2bp2,ENSMUSG00000051495.7
Tomm20,ENSMUSG00000093904.1
Gm26397,ENSMUSG00000065637.1
Rbm34,ENSMUSG00000033931.8
Gm22730,ENSMUSG00000088710.1
Pard3,ENSMUSG00000025812.13
Gm6921,ENSMUSG00000090074.1
Gm22968,ENSMUSG00000088580.1
Mir21c,ENSMUSG00000099326.1
Nrp1,ENSMUSG00000025810.8
Mir1903,ENSMUSG00000084523.1
Gm26002,ENSMUSG00000075864.1
Itgb1,ENSMUSG00000025809.11
RP23-303A11.1,ENSMUSG00000102141.1
Gm26100,ENSMUSG00000087870.1
Ccdc7,ENSMUSG00000025808.12
Gm22545,ENSMUSG00000077538.1
1700008F21Rik,ENSMUSG00000056018.10
Gm22374,ENSMUSG00000077771.1
Gm10999,ENSMUSG00000078840.1
2610044O15Rik8,ENSMUSG00000071302.6
Gm21399,ENSMUSG00000094530.1
Gm26870,ENSMUSG00000097312.1
Gm10722,ENSMUSG00000091028.1
Gm11168,ENSMUSG00000096385.3
Gm10721,ENSMUSG00000096519.1
Gm10720,ENSMUSG00000074564.3
Gm10719,ENSMUSG00000095547.1
Gm10718,ENSMUSG00000095186.1
Gm10717,ENSMUSG00000095891.3
Gm17535,ENSMUSG00000096736.1
Gm10715,ENSMUSG00000096201.1
4930433N12Rik,ENSMUSG00000042360.8
Gm27679,ENSMUSG00000098373.1
Alkbh8,ENSMUSG00000025899.9
Gm24918,ENSMUSG00000064956.1
Gm23275,ENSMUSG00000077248.1
Cwf19l2,ENSMUSG00000025898.5
Gucy1a2,ENSMUSG00000041624.9
Gm22195,ENSMUSG00000080511.1
Aasdhppt,ENSMUSG00000025894.10
Kbtbd3,ENSMUSG00000025893.7
Gm23992,ENSMUSG00000094086.1
Msantd4,ENSMUSG00000041124.10
Gria4,ENSMUSG00000025892.11
Gm23811,ENSMUSG00000092896.1
Gm24896,ENSMUSG00000084690.1
Casp1,ENSMUSG00000025888.5
Casp4,ENSMUSG00000033538.9
Casp12,ENSMUSG00000025887.6
Pdgfd,ENSMUSG00000032006.10
Ddi1,ENSMUSG00000047619.4
Gm23097,ENSMUSG00000065382.1
Dync2h1,ENSMUSG00000047193.11
Dcun1d5,ENSMUSG00000032002.9
Mmp13,ENSMUSG00000050578.9
Mmp12,ENSMUSG00000049723.10
Mmp1b,ENSMUSG00000041620.8
Mmp3,ENSMUSG00000043613.7
Mmp1a,ENSMUSG00000043089.5
Mmp10,ENSMUSG00000047562.2
Mmp8,ENSMUSG00000005800.2
Mmp27,ENSMUSG00000070323.7
AC115689.1,ENSMUSG00000101577.1
Mmp20,ENSMUSG00000018620.2
AV064505,ENSMUSG00000086381.1
Mmp7,ENSMUSG00000018623.9
Gm10709,ENSMUSG00000074516.5
Tmem123,ENSMUSG00000050912.11
Mir5618,ENSMUSG00000093615.1
Birc2,ENSMUSG00000057367.8
Birc3,ENSMUSG00000032000.13
Yap1,ENSMUSG00000053110.9
Gm20416,ENSMUSG00000092185.1
9230110C19Rik,ENSMUSG00000053070.4
AK129341,ENSMUSG00000040729.6
1700128F08Rik,ENSMUSG00000031998.4
Mir1899,ENSMUSG00000084747.1
Trpc6,ENSMUSG00000031997.8
Pgr,ENSMUSG00000031870.12
Gm16485,ENSMUSG00000078117.2
Arhgap42,ENSMUSG00000050730.12
Gm16833,ENSMUSG00000085253.3
Gm22815,ENSMUSG00000088076.1
Cntn5,ENSMUSG00000039488.11
Gm26195,ENSMUSG00000092776.1
Mir6237,ENSMUSG00000098408.1
Gm24496,ENSMUSG00000093959.1
Gm25086,ENSMUSG00000096815.1
Gm25365,ENSMUSG00000089477.1
Gm21070,ENSMUSG00000098228.1
Gm29176,ENSMUSG00000099788.1
Jrkl,ENSMUSG00000079083.2
Ccdc82,ENSMUSG00000079084.5
Gm26189,ENSMUSG00000095068.1
Phxr4,ENSMUSG00000031802.8
Gm17571,ENSMUSG00000090592.2
Maml2,ENSMUSG00000031925.12
Gm22643,ENSMUSG00000093092.1
Mtmr2,ENSMUSG00000031918.12
Cep57,ENSMUSG00000031922.8
Fam76b,ENSMUSG00000037808.8
Sesn3,ENSMUSG00000032009.7
Endod1,ENSMUSG00000037419.8
Gm27205,ENSMUSG00000098832.1
Kdm4d,ENSMUSG00000053914.9
Cwc15,ENSMUSG00000004096.8
Amotl1,ENSMUSG00000013076.11
Piwil4,ENSMUSG00000036912.13
Gm10706,ENSMUSG00000074508.4
Gm15586,ENSMUSG00000082564.1
Fut4,ENSMUSG00000049307.5
1700012B09Rik,ENSMUSG00000031927.5
Ankrd49,ENSMUSG00000031931.3
Mre11a,ENSMUSG00000031928.10
Gm16379,ENSMUSG00000059658.5
Gm16302,ENSMUSG00000090023.1
Gpr83,ENSMUSG00000031932.10
Folr4,ENSMUSG00000031933.13
Panx1,ENSMUSG00000031934.9
Hephl1,ENSMUSG00000031936.9
Gm27450,ENSMUSG00000077821.2
Gm22658,ENSMUSG00000077384.1
Vstm5,ENSMUSG00000031937.6
Med17,ENSMUSG00000031935.8
4931406C07Rik,ENSMUSG00000031938.10
Taf1d,ENSMUSG00000031939.11
Gm25500,ENSMUSG00000077614.1
Gm24455,ENSMUSG00000065282.1
Gm24299,ENSMUSG00000088929.1
Gm25791,ENSMUSG00000065226.1
Gm22620,ENSMUSG00000064634.1
Gm24357,ENSMUSG00000064797.1
Gm23455,ENSMUSG00000065265.1
Gm22579,ENSMUSG00000065663.1
Cep295,ENSMUSG00000046111.12
Scarna9,ENSMUSG00000077506.1
Gm24339,ENSMUSG00000077394.1
Gm16568,ENSMUSG00000089702.1
Smco4,ENSMUSG00000058173.7
Ccdc67,ENSMUSG00000039977.12
Slc36a4,ENSMUSG00000043885.9
Mtnr1b,ENSMUSG00000050901.6
Fat3,ENSMUSG00000074505.4
Gm5611,ENSMUSG00000090602.2
Chordc1,ENSMUSG00000001774.7
Naalad2,ENSMUSG00000043943.10
Ubtfl1,ENSMUSG00000074502.3
Gm5612,ENSMUSG00000074501.5
Mbd3l2,ENSMUSG00000047508.8
Zfp558,ENSMUSG00000074500.7
Gm22854,ENSMUSG00000092714.1
Mbd3l1,ENSMUSG00000038691.4
Muc16,ENSMUSG00000032134.6
Gm25295,ENSMUSG00000084743.1
Gm24546,ENSMUSG00000089277.1
Olfr24,ENSMUSG00000054141.2
Olfr828,ENSMUSG00000078116.1
Olfr829,ENSMUSG00000051414.3
Olfr830,ENSMUSG00000062868.2
Olfr831-ps1,ENSMUSG00000066914.3
Olfr832,ENSMUSG00000095957.1
Olfr833-ps1,ENSMUSG00000066912.2
Olfr834,ENSMUSG00000095525.1
Olfr835,ENSMUSG00000045204.3
Olfr836,ENSMUSG00000059303.5
Olfr837,ENSMUSG00000059731.6
Olfr843,ENSMUSG00000048391.2
Olfr844,ENSMUSG00000049229.4
Olfr845,ENSMUSG00000061614.2
Olfr846,ENSMUSG00000058692.3
Olfr847,ENSMUSG00000059821.3
Gm23048,ENSMUSG00000087862.1
Olfr849,ENSMUSG00000052182.3
Olfr850,ENSMUSG00000094535.1
Olfr851,ENSMUSG00000052625.7
Olfr853,ENSMUSG00000051160.3
Olfr854,ENSMUSG00000095667.1
Olfr855,ENSMUSG00000043087.4
Zfp317,ENSMUSG00000057551.8
Olfr857,ENSMUSG00000094678.1
Olfr58,ENSMUSG00000058659.3
Olfr859,ENSMUSG00000095448.1
Olfr860,ENSMUSG00000066905.2
Olfr862,ENSMUSG00000063842.3
Olfr77,ENSMUSG00000051118.7
Gm7808,ENSMUSG00000091460.2
Olfr866,ENSMUSG00000050803.2
Gm26231,ENSMUSG00000096830.1
Olfr867,ENSMUSG00000044454.2
Olfr868,ENSMUSG00000044106.2
Olfr869,ENSMUSG00000058491.5
Olfr870,ENSMUSG00000066899.4
Gm25914,ENSMUSG00000088243.1
Gm26290,ENSMUSG00000089516.1
Olfr871,ENSMUSG00000061457.3
Olfr872,ENSMUSG00000066897.5
Gm25425,ENSMUSG00000088236.1
Olfr39,ENSMUSG00000059623.4
Olfr873,ENSMUSG00000049028.4
Olfr18,ENSMUSG00000066896.3
Zfp560,ENSMUSG00000045519.10
Gm26733,ENSMUSG00000097469.1
Zfp26,ENSMUSG00000063108.10
Zfp426,ENSMUSG00000059475.9
Gm23316,ENSMUSG00000088622.1
Zfp266,ENSMUSG00000060510.9
Zfp846,ENSMUSG00000058192.11
Fbxl12os,ENSMUSG00000062470.9
Gm26521,ENSMUSG00000097422.1
Fbxl12,ENSMUSG00000066892.9
Ubl5,ENSMUSG00000084786.5
Pin1,ENSMUSG00000032171.6
Olfm2,ENSMUSG00000032172.7
Col5a3,ENSMUSG00000004098.7
Gm26274,ENSMUSG00000087728.1
Rdh8,ENSMUSG00000053773.4
A230050P20Rik,ENSMUSG00000038884.10
Angptl6,ENSMUSG00000038742.6
Ppan,ENSMUSG00000004100.7
Gm24067,ENSMUSG00000077702.1
Gm23008,ENSMUSG00000089571.1
Eif3g,ENSMUSG00000070319.5
Dnmt1,ENSMUSG00000004099.11
Mir7081,ENSMUSG00000099147.1
S1pr2,ENSMUSG00000043895.5
Mrpl4,ENSMUSG00000003299.9
Icam1,ENSMUSG00000037405.7
Gm20603,ENSMUSG00000097432.1
Icam4,ENSMUSG00000001014.5
Icam5,ENSMUSG00000032174.4
Mir1900,ENSMUSG00000084663.1
Gm26592,ENSMUSG00000097535.1
Zglp1,ENSMUSG00000079681.2
Fdx1l,ENSMUSG00000079677.1
Raver1,ENSMUSG00000010205.10
Mir7082,ENSMUSG00000098907.1
1700084C06Rik,ENSMUSG00000086016.1
Tyk2,ENSMUSG00000032175.10
Cdc37,ENSMUSG00000019471.9
Pde4a,ENSMUSG00000032177.12
Gm16754,ENSMUSG00000097439.2
